domain,organization_name,suborganization_name,state,domain_type
westpointne.gov,City of West Point Nebraska,,NE,City
cityofwoodburyga.gov,City of Woodbury,,GA,City
harrisburgpa.gov,City of Harrisburg,,PA,City
sigpr.gov,Department of the Treasury,Special IG for Pandemic Recovery,DC,Federal - Executive
mcdowellcountywv.gov,McDowell County Commission,,WV,County
frtr.gov,Environmental Protection Agency,,DC,Federal - Executive
occnet.gov,Department of the Treasury,Office of the Comptroller of the Currency,DC,Federal - Executive
fema.gov,Department of Homeland Security,Federal Emergency Management Agency,DC,Federal - Executive
manteca.gov,City of Manteca,,CA,City
detroit.gov,City of Detroit,,MI,City
cityofsouthport.gov,City of Southport,,NC,City
boonenc.gov,Town of Boone,,NC,City
rebuildflorida.gov,FloridaCommerce,,FL,State or territory
hawkpointmo.gov,"City of Hawk Point, Missouri",,MO,City
dea.gov,Department of Justice,Drug Enforcement Administration,DC,Federal - Executive
townofhomerny.gov,Town of Homer,,NY,City
baldwinparkca.gov,City of Baldwin Park,,CA,City
thebraininitiative.gov,Department of Health and Human Services,National Institute of Neurological Disorders and Stroke,MD,Federal - Executive
housinglincolncountyor.gov,Housing Authority of Lincoln County,,OR,Special district
limestonecountyema-al.gov,Limestone County Emergency Management Agency,,AL,County
cityofswartzcreekmi.gov,City of Swartz Creek,,MI,City
scottcountyva.gov,Scott County Board of Supervisors,,VA,County
sayvillefd.gov,Sayville Fire District,,NY,Special district
villageofspencerwi.gov,Village of Spencer,,WI,City
waukeganil.gov,City of Waukegan,,IL,City
shastacounty.gov,Shasta County,,CA,County
glotwpnjpd.gov,Gloucester Township Police,,NJ,City
waltontaxcollectorfl.gov,Walton County Tax Collector,,FL,County
viejastribalcourts-nsn.gov,Viejas Tribal Court,,CA,Tribal
townofgreengrovewi.gov,Town of Green Grove,,WI,City
augustaky.gov,City of Augusta,,KY,City
olatheks.gov,City of Olathe,,KS,City
kalapks.gov,Kansas Judicial Branch,,KS,State or territory
newportnc.gov,"Town of Newport, NC",,NC,City
indy.gov,City of Indianapolis - Marion County,,IN,City
dublinohiousa.gov,"City of Dublin, Ohio",,OH,City
townofbrinybreezes-fl.gov,"Briny Breezes, Town of",,FL,City
nemahacountyne.gov,Nemaha County,,NE,County
cheyennecountyne.gov,Cheyenne County Courthouse,,NE,County - Election
ibervilleoep.gov,Iberville Parish Office of Emergency Preparedness,,LA,County
ravennaoh.gov,City of Ravenna,,OH,City
